training_code,status,trainer,startDate,endDate,participants
FS-001,pending,d54609c5022b4dcf86db8df8,2024-04-30 11:13:52,2024-05-04 11:13:52,"[{'user': 'f13c63e0e843488fbc63850a', 'hackerRankScore': 3, 'assessmentScore': 9, 'performance': 4, 'communication': 8, 'remarks': 'Him your democratic later skill still.'}, {'user': 'ee4a245f53164cdda2d8b4f8', 'hackerRankScore': 7, 'assessmentScore': 8, 'performance': 2, 'communication': 6, 'remarks': 'Television evidence single eat my receive first like.'}, {'user': '96a020eaec404e239c1ac267', 'hackerRankScore': 4, 'assessmentScore': 1, 'performance': 9, 'communication': 6, 'remarks': 'Pay team word significant I market green mind.'}, {'user': 'cc4196bff3ec4ae19bb9647b', 'hackerRankScore': 7, 'assessmentScore': 7, 'performance': 2, 'communication': 1, 'remarks': 'Agency moment send meeting people manager.'}, {'user': '530b2ec7ded641e786a6e871', 'hackerRankScore': 5, 'assessmentScore': 8, 'performance': 6, 'communication': 10, 'remarks': 'Daughter bad edge west political wife wrong.'}, {'user': '50d7b9fa9de64c439bff9c65', 'hackerRankScore': 2, 'assessmentScore': 5, 'performance': 3, 'communication': 9, 'remarks': 'Something head although whose.'}, {'user': 'e163accf6329493c89fbdf7a', 'hackerRankScore': 7, 'assessmentScore': 10, 'performance': 5, 'communication': 9, 'remarks': 'Guy early much rest without.'}, {'user': 'c83766dde1d442d18449b6aa', 'hackerRankScore': 9, 'assessmentScore': 5, 'performance': 3, 'communication': 6, 'remarks': 'Also market car card not.'}, {'user': '2048996396cc42a58dd55955', 'hackerRankScore': 9, 'assessmentScore': 3, 'performance': 1, 'communication': 9, 'remarks': 'Appear almost fill public character.'}, {'user': '1f5cd8f2e6d1426692301c4b', 'hackerRankScore': 7, 'assessmentScore': 7, 'performance': 6, 'communication': 9, 'remarks': 'Gas each thank discover.'}, {'user': '75464c72f8ac44c89ecf2a31', 'hackerRankScore': 7, 'assessmentScore': 4, 'performance': 2, 'communication': 2, 'remarks': 'Analysis dog condition statement suffer.'}, {'user': '5a701ba887c847699459183e', 'hackerRankScore': 8, 'assessmentScore': 3, 'performance': 8, 'communication': 5, 'remarks': 'In factor southern want.'}, {'user': '32b9662f6601491e8ba6c1f0', 'hackerRankScore': 7, 'assessmentScore': 8, 'performance': 4, 'communication': 6, 'remarks': 'Increase describe economic must.'}, {'user': 'd3516511f5b1417eab0490bc', 'hackerRankScore': 4, 'assessmentScore': 6, 'performance': 8, 'communication': 1, 'remarks': 'Involve particularly field reason.'}, {'user': '66627726322a474eba625b19', 'hackerRankScore': 7, 'assessmentScore': 5, 'performance': 3, 'communication': 7, 'remarks': 'Four lead class north assume cell.'}, {'user': '31a35999a36a4957aac26fb0', 'hackerRankScore': 3, 'assessmentScore': 8, 'performance': 8, 'communication': 7, 'remarks': 'Paper protect wall accept consumer language get.'}, {'user': '5395c2a0eceb4c49ae6b9bfa', 'hackerRankScore': 0, 'assessmentScore': 3, 'performance': 4, 'communication': 3, 'remarks': 'During me the remember what.'}, {'user': '0b2112e9d76248bda9fa6b74', 'hackerRankScore': 1, 'assessmentScore': 6, 'performance': 7, 'communication': 3, 'remarks': 'Just early such write relationship.'}, {'user': 'df6a3da2c8714f78be6d92b0', 'hackerRankScore': 2, 'assessmentScore': 0, 'performance': 7, 'communication': 6, 'remarks': 'Those popular have environment process.'}, {'user': '0cae54cffa12416cac927e92', 'hackerRankScore': 3, 'assessmentScore': 6, 'performance': 5, 'communication': 7, 'remarks': 'Suddenly firm risk pay act suggest event.'}, {'user': '1b585ffa71fd4f28824ac0b3', 'hackerRankScore': 4, 'assessmentScore': 9, 'performance': 5, 'communication': 9, 'remarks': 'Agree poor care produce send let food.'}, {'user': 'd3130edd31004705aaedbac9', 'hackerRankScore': 6, 'assessmentScore': 2, 'performance': 1, 'communication': 4, 'remarks': 'Likely edge bed.'}, {'user': 'ebee290527304335a7245b7e', 'hackerRankScore': 10, 'assessmentScore': 8, 'performance': 6, 'communication': 10, 'remarks': 'Thank beyond single relationship among interview beat no.'}, {'user': 'a364261491ef4109bf622604', 'hackerRankScore': 10, 'assessmentScore': 2, 'performance': 0, 'communication': 7, 'remarks': 'Wear deal why enough play let goal.'}]"
ST-002,ongoing,8d40981d2c0d409e8e174c28,2024-09-13 01:35:25,2024-10-11 01:35:25,"[{'user': '9f71b25a6d2748098f565b3d', 'hackerRankScore': 9, 'assessmentScore': 8, 'performance': 9, 'communication': 1, 'remarks': 'Mouth born evening level already join because.'}, {'user': 'f9e920a9b55541fc99f84e63', 'hackerRankScore': 1, 'assessmentScore': 10, 'performance': 8, 'communication': 9, 'remarks': 'Color nice sing season.'}, {'user': '45f249ec9d204cd2a29583b2', 'hackerRankScore': 7, 'assessmentScore': 4, 'performance': 4, 'communication': 3, 'remarks': 'Fish impact between tend participant.'}]"
ST-003,pending,9301e6053a794871a1af17ed,2024-02-01 08:11:55,2024-02-13 08:11:55,"[{'user': '5395c2a0eceb4c49ae6b9bfa', 'hackerRankScore': 10, 'assessmentScore': 5, 'performance': 8, 'communication': 5, 'remarks': 'Base market political such south.'}, {'user': '1917633e954e4b578c69a9a7', 'hackerRankScore': 9, 'assessmentScore': 2, 'performance': 1, 'communication': 3, 'remarks': 'Pm activity everybody whole.'}, {'user': '49ee5eade19347488622a358', 'hackerRankScore': 4, 'assessmentScore': 5, 'performance': 1, 'communication': 7, 'remarks': 'Work past bank opportunity international.'}, {'user': '24c74125121b4dc487f75785', 'hackerRankScore': 3, 'assessmentScore': 3, 'performance': 4, 'communication': 7, 'remarks': 'They laugh should only security think certain.'}, {'user': '2727c9503c684bb9a8a91b40', 'hackerRankScore': 6, 'assessmentScore': 1, 'performance': 8, 'communication': 1, 'remarks': 'Language human travel help throughout.'}, {'user': '916a983c1d4a410c88d4d5a7', 'hackerRankScore': 6, 'assessmentScore': 5, 'performance': 5, 'communication': 1, 'remarks': 'Rate couple against two bank.'}, {'user': '4f90281eb7fa48b9ab644870', 'hackerRankScore': 3, 'assessmentScore': 1, 'performance': 4, 'communication': 8, 'remarks': 'Remain leader history.'}, {'user': '21fdb90def3648acac2b0c06', 'hackerRankScore': 4, 'assessmentScore': 7, 'performance': 10, 'communication': 0, 'remarks': 'Not subject family late focus.'}, {'user': '14e1796c3a78405ab536285c', 'hackerRankScore': 6, 'assessmentScore': 2, 'performance': 5, 'communication': 6, 'remarks': 'Will might quite hear day article find.'}, {'user': 'e6b30b7f90734090848ce19c', 'hackerRankScore': 5, 'assessmentScore': 3, 'performance': 8, 'communication': 7, 'remarks': 'Yes policy face draw.'}, {'user': '9f6b8703932b43f18049cbfd', 'hackerRankScore': 7, 'assessmentScore': 6, 'performance': 8, 'communication': 6, 'remarks': 'Discover eight remain economic all.'}, {'user': '0557e0f826c940d388e3a6e0', 'hackerRankScore': 1, 'assessmentScore': 9, 'performance': 1, 'communication': 7, 'remarks': 'Audience bring shoulder successful just.'}, {'user': 'c40b263c46fe483ebf0ee4d1', 'hackerRankScore': 2, 'assessmentScore': 2, 'performance': 10, 'communication': 2, 'remarks': 'Same over new think industry without check.'}, {'user': 'ac7774948ba7445183da4c59', 'hackerRankScore': 2, 'assessmentScore': 4, 'performance': 7, 'communication': 2, 'remarks': 'Enjoy miss mind.'}, {'user': '5973625d28844da5b5317f05', 'hackerRankScore': 7, 'assessmentScore': 8, 'performance': 4, 'communication': 6, 'remarks': 'Travel outside not time budget movement.'}, {'user': '06f63aec524e42218e389df7', 'hackerRankScore': 6, 'assessmentScore': 9, 'performance': 4, 'communication': 3, 'remarks': 'Food really different wonder of region something fight.'}, {'user': '7adbeed889284675bbe5aacb', 'hackerRankScore': 8, 'assessmentScore': 7, 'performance': 1, 'communication': 1, 'remarks': 'Get significant head draw threat land.'}, {'user': '53667e0a565749f7a2476ab6', 'hackerRankScore': 5, 'assessmentScore': 6, 'performance': 2, 'communication': 9, 'remarks': 'Gun save common actually nearly herself.'}, {'user': '27908758762d45a6b230b6ef', 'hackerRankScore': 6, 'assessmentScore': 3, 'performance': 2, 'communication': 1, 'remarks': 'Data research under responsibility pattern cup reflect.'}, {'user': '91319a631c324d68a1af5838', 'hackerRankScore': 9, 'assessmentScore': 2, 'performance': 2, 'communication': 5, 'remarks': 'Cold beat would billion air.'}, {'user': '7a36431f98ef4584a54f17a4', 'hackerRankScore': 1, 'assessmentScore': 5, 'performance': 7, 'communication': 4, 'remarks': 'Audience building word if different.'}, {'user': 'aa95eb998e5f43f8a749c1e0', 'hackerRankScore': 2, 'assessmentScore': 8, 'performance': 6, 'communication': 7, 'remarks': 'Instead most election lawyer year issue large.'}, {'user': '1b44218cd91a46eba4e5f087', 'hackerRankScore': 10, 'assessmentScore': 5, 'performance': 4, 'communication': 9, 'remarks': 'Thank parent who night large.'}]"
ST-004,pending,c1a869bab3eb47a5b4c203a5,2024-06-20 12:44:31,2024-06-26 12:44:31,"[{'user': 'c0879490fb2a4f989be11355', 'hackerRankScore': 5, 'assessmentScore': 3, 'performance': 5, 'communication': 9, 'remarks': 'Rest light green rather.'}, {'user': '5248bf5c17614645a543b12a', 'hackerRankScore': 1, 'assessmentScore': 4, 'performance': 5, 'communication': 1, 'remarks': 'Word allow single hot figure.'}, {'user': 'd0a0ae0af48743578a76903e', 'hackerRankScore': 2, 'assessmentScore': 0, 'performance': 3, 'communication': 6, 'remarks': 'Development analysis per race fly.'}, {'user': '1365c2d775e84658addea98b', 'hackerRankScore': 6, 'assessmentScore': 10, 'performance': 3, 'communication': 6, 'remarks': 'Relationship month accept moment tonight sure.'}, {'user': '1c032a37835944c28eb69e45', 'hackerRankScore': 4, 'assessmentScore': 4, 'performance': 10, 'communication': 2, 'remarks': 'Plant of hit alone.'}, {'user': '86b05adaf0e943ae97df6aea', 'hackerRankScore': 5, 'assessmentScore': 5, 'performance': 8, 'communication': 1, 'remarks': 'Election machine what lose.'}, {'user': 'aee538a1762f485eaf67cad5', 'hackerRankScore': 6, 'assessmentScore': 5, 'performance': 10, 'communication': 7, 'remarks': 'When computer section brother here.'}, {'user': 'e876713acf8744fd81a9afd4', 'hackerRankScore': 10, 'assessmentScore': 3, 'performance': 1, 'communication': 6, 'remarks': 'What ask us street act past like respond.'}, {'user': '3f96da283bb340c8adece50f', 'hackerRankScore': 9, 'assessmentScore': 1, 'performance': 1, 'communication': 3, 'remarks': 'Of the public.'}, {'user': '551d706e80be4ce3a2629b13', 'hackerRankScore': 8, 'assessmentScore': 5, 'performance': 2, 'communication': 3, 'remarks': 'Agree figure customer administration size movie population.'}, {'user': 'c797812951de4637aa9e4370', 'hackerRankScore': 1, 'assessmentScore': 9, 'performance': 2, 'communication': 2, 'remarks': 'Film thing now wear.'}, {'user': '1f5cd8f2e6d1426692301c4b', 'hackerRankScore': 5, 'assessmentScore': 4, 'performance': 10, 'communication': 8, 'remarks': 'Prove middle possible run general owner.'}, {'user': 'cc1be0ab8c49476f9613cbab', 'hackerRankScore': 2, 'assessmentScore': 6, 'performance': 7, 'communication': 8, 'remarks': 'Technology create fight read.'}, {'user': 'ce905300de9f414697e60055', 'hackerRankScore': 6, 'assessmentScore': 0, 'performance': 7, 'communication': 6, 'remarks': 'Move blood main medical member race without.'}, {'user': '00e6032e4a564b3e92c0752f', 'hackerRankScore': 6, 'assessmentScore': 7, 'performance': 1, 'communication': 6, 'remarks': 'During school court newspaper able.'}, {'user': 'e9a32d24300b42528ab451e8', 'hackerRankScore': 7, 'assessmentScore': 6, 'performance': 7, 'communication': 3, 'remarks': 'Tough do second onto too.'}, {'user': '17038d1b33fa44978ae8298b', 'hackerRankScore': 4, 'assessmentScore': 7, 'performance': 3, 'communication': 0, 'remarks': 'Interest coach difference compare worry report drop.'}, {'user': 'b25c48bad99046d99b083eab', 'hackerRankScore': 1, 'assessmentScore': 9, 'performance': 3, 'communication': 1, 'remarks': 'Owner visit technology cut large cultural oil.'}, {'user': 'a364261491ef4109bf622604', 'hackerRankScore': 7, 'assessmentScore': 5, 'performance': 6, 'communication': 6, 'remarks': 'Three watch individual would degree.'}, {'user': 'a22060a5b7c442a8a4a16c0f', 'hackerRankScore': 9, 'assessmentScore': 2, 'performance': 10, 'communication': 7, 'remarks': 'Event young operation argue off baby.'}, {'user': 'eede90ea7c0c4f51a572767f', 'hackerRankScore': 3, 'assessmentScore': 8, 'performance': 9, 'communication': 5, 'remarks': 'Always through above talk.'}, {'user': '8652e7f3fc6e4facbc3f6ab1', 'hackerRankScore': 8, 'assessmentScore': 2, 'performance': 3, 'communication': 2, 'remarks': 'Help turn surface scene how.'}, {'user': '1d5e8b925cea45ebaa6219c9', 'hackerRankScore': 10, 'assessmentScore': 1, 'performance': 7, 'communication': 3, 'remarks': 'Paper north lawyer eight manage.'}]"
UI-005,pending,b225f3c0a24041499f4a12e5,2024-01-15 07:25:30,2024-02-10 07:25:30,"[{'user': '657cf2f9ac444f348e1e88bc', 'hackerRankScore': 4, 'assessmentScore': 6, 'performance': 5, 'communication': 6, 'remarks': 'Individual marriage result kind.'}, {'user': '3b129053e5e84322afa545d4', 'hackerRankScore': 3, 'assessmentScore': 1, 'performance': 4, 'communication': 9, 'remarks': 'Trade indeed soldier simply nothing.'}, {'user': 'b10dcb2b1f7f4a6b9e6fcd19', 'hackerRankScore': 1, 'assessmentScore': 10, 'performance': 6, 'communication': 1, 'remarks': 'Owner top institution firm.'}, {'user': '9fe3a1c817ab4c71849f5900', 'hackerRankScore': 2, 'assessmentScore': 6, 'performance': 4, 'communication': 10, 'remarks': 'He head determine if institution generation word spring.'}, {'user': 'e8c31757386d49c7b107f30e', 'hackerRankScore': 5, 'assessmentScore': 7, 'performance': 8, 'communication': 7, 'remarks': 'Difference sometimes what movement mouth.'}]"
DE-006,pending,888bd153514e4d90b283beab,2024-09-15 19:09:02,2024-10-07 19:09:02,"[{'user': '4d555a433c07434181cd585b', 'hackerRankScore': 10, 'assessmentScore': 1, 'performance': 2, 'communication': 2, 'remarks': 'Stop score beat receive no.'}, {'user': '4672c642fd4c4249b11cb4bd', 'hackerRankScore': 4, 'assessmentScore': 7, 'performance': 3, 'communication': 1, 'remarks': 'Despite kind purpose according improve.'}, {'user': 'b504e1a82c3248db8e495069', 'hackerRankScore': 3, 'assessmentScore': 3, 'performance': 0, 'communication': 7, 'remarks': 'Act something eight prove never peace room up.'}, {'user': '50f0012c56ef4941899ae5d5', 'hackerRankScore': 2, 'assessmentScore': 3, 'performance': 2, 'communication': 1, 'remarks': 'Age be someone discuss instead.'}, {'user': 'e289f67bc047449e9ffc930e', 'hackerRankScore': 8, 'assessmentScore': 10, 'performance': 4, 'communication': 6, 'remarks': 'News really quality style arrive.'}, {'user': '23989601cdb646409a73f4fd', 'hackerRankScore': 8, 'assessmentScore': 5, 'performance': 8, 'communication': 7, 'remarks': 'Science western receive check.'}, {'user': '70a2ac3dc33348379bd04583', 'hackerRankScore': 7, 'assessmentScore': 8, 'performance': 9, 'communication': 10, 'remarks': 'Would company life.'}, {'user': '03338da8bea841debf84316c', 'hackerRankScore': 5, 'assessmentScore': 4, 'performance': 10, 'communication': 2, 'remarks': 'Discuss statement various home peace camera relate.'}, {'user': 'a9bd041558564f3eb0124ebd', 'hackerRankScore': 10, 'assessmentScore': 8, 'performance': 3, 'communication': 7, 'remarks': 'Though thus drug name.'}, {'user': 'a1e2a4ee22874e99abd2040a', 'hackerRankScore': 8, 'assessmentScore': 1, 'performance': 4, 'communication': 6, 'remarks': 'Discussion fine main account.'}, {'user': 'e4820bee68514784b545caea', 'hackerRankScore': 6, 'assessmentScore': 2, 'performance': 8, 'communication': 1, 'remarks': 'None everything wonder sport heart play message themselves.'}, {'user': 'cf787cdd40804aeeb97d3f06', 'hackerRankScore': 3, 'assessmentScore': 5, 'performance': 6, 'communication': 2, 'remarks': 'Center same else back not.'}, {'user': '6d3a01ed447f4ecfa972a4fd', 'hackerRankScore': 6, 'assessmentScore': 0, 'performance': 2, 'communication': 5, 'remarks': 'Doctor media prevent each treat only free.'}, {'user': '96a020eaec404e239c1ac267', 'hackerRankScore': 6, 'assessmentScore': 7, 'performance': 1, 'communication': 7, 'remarks': 'Lead respond mean answer protect seven resource record.'}, {'user': 'b8b47df254f44114be5b4924', 'hackerRankScore': 0, 'assessmentScore': 1, 'performance': 7, 'communication': 8, 'remarks': 'Particular relationship spend democratic task his success watch.'}, {'user': '895335b5fe3346a9a0affbfe', 'hackerRankScore': 2, 'assessmentScore': 1, 'performance': 6, 'communication': 5, 'remarks': 'Message until street discuss worker.'}, {'user': 'f53d1b99c0a74b07ad558041', 'hackerRankScore': 4, 'assessmentScore': 6, 'performance': 3, 'communication': 6, 'remarks': 'Store large network why.'}, {'user': '4c91102cce5641168ae5a69a', 'hackerRankScore': 3, 'assessmentScore': 6, 'performance': 4, 'communication': 4, 'remarks': 'Have these center young.'}, {'user': '17bddb93fe464badbdb15c88', 'hackerRankScore': 6, 'assessmentScore': 3, 'performance': 3, 'communication': 9, 'remarks': 'These party kid hour amount list.'}, {'user': 'fc2661b042f9475289072b20', 'hackerRankScore': 7, 'assessmentScore': 2, 'performance': 5, 'communication': 2, 'remarks': 'Form first face condition.'}]"
ST-007,ongoing,3b6633dbdbff42cca5695828,2024-01-16 00:03:30,2024-02-11 00:03:30,"[{'user': '60b19dda47f643358181cf20', 'hackerRankScore': 4, 'assessmentScore': 4, 'performance': 9, 'communication': 2, 'remarks': 'Pretty thousand seat wife win market authority.'}, {'user': '9fe3a1c817ab4c71849f5900', 'hackerRankScore': 8, 'assessmentScore': 2, 'performance': 9, 'communication': 10, 'remarks': 'Treat size provide ready produce again once.'}]"
ST-008,pending,4db7bb30e7b44759b87a9e8c,2024-04-21 02:26:57,2024-04-28 02:26:57,"[{'user': 'f8f39514df2e4fd793bb4db4', 'hackerRankScore': 3, 'assessmentScore': 8, 'performance': 8, 'communication': 2, 'remarks': 'Next clearly call sure government.'}, {'user': '24cf91e2501948b6bfabaa9b', 'hackerRankScore': 2, 'assessmentScore': 4, 'performance': 2, 'communication': 5, 'remarks': 'Smile really off sister.'}, {'user': '7e4c611d75614843acf6fda4', 'hackerRankScore': 9, 'assessmentScore': 4, 'performance': 1, 'communication': 5, 'remarks': 'Will catch ago recent once measure.'}, {'user': '97131810da0f434a8be39b5a', 'hackerRankScore': 5, 'assessmentScore': 7, 'performance': 7, 'communication': 8, 'remarks': 'Campaign member continue world.'}, {'user': 'cf55426b351d46ba87a94286', 'hackerRankScore': 5, 'assessmentScore': 10, 'performance': 8, 'communication': 8, 'remarks': 'Under difficult light community center beat treatment.'}, {'user': '63625e2445dc4197b9f870f5', 'hackerRankScore': 5, 'assessmentScore': 9, 'performance': 6, 'communication': 4, 'remarks': 'Explain responsibility kind beat effect customer reduce.'}, {'user': 'b00c5e13d7a04ca5997de875', 'hackerRankScore': 8, 'assessmentScore': 3, 'performance': 9, 'communication': 6, 'remarks': 'Account experience spring.'}, {'user': 'ee4a245f53164cdda2d8b4f8', 'hackerRankScore': 4, 'assessmentScore': 6, 'performance': 6, 'communication': 2, 'remarks': 'After major prepare case rise.'}, {'user': 'c557a71267f04226b1faaf2a', 'hackerRankScore': 2, 'assessmentScore': 10, 'performance': 8, 'communication': 10, 'remarks': 'Million religious town behind help.'}, {'user': '2cb432d0b17c4cfaaef0c641', 'hackerRankScore': 2, 'assessmentScore': 8, 'performance': 1, 'communication': 4, 'remarks': 'Certain finish every matter somebody peace.'}, {'user': '87ce170dd3a0432a9614d1de', 'hackerRankScore': 0, 'assessmentScore': 8, 'performance': 10, 'communication': 5, 'remarks': 'Loss most night perhaps front.'}, {'user': '6f7632f94a314fd481bf3dc2', 'hackerRankScore': 8, 'assessmentScore': 5, 'performance': 3, 'communication': 8, 'remarks': 'Success my leave partner those lose eat see.'}, {'user': '70a2ac3dc33348379bd04583', 'hackerRankScore': 3, 'assessmentScore': 4, 'performance': 1, 'communication': 7, 'remarks': 'Probably good stand thousand property.'}, {'user': '18dcaf35a90a4daf9a1c2f39', 'hackerRankScore': 1, 'assessmentScore': 8, 'performance': 1, 'communication': 6, 'remarks': 'Us than drop likely Congress.'}, {'user': '00f57278b71b4465a09bd458', 'hackerRankScore': 3, 'assessmentScore': 5, 'performance': 2, 'communication': 4, 'remarks': 'Remain Mrs former.'}, {'user': '43448233050b439da7cae653', 'hackerRankScore': 0, 'assessmentScore': 8, 'performance': 3, 'communication': 9, 'remarks': 'When nearly arm always check tonight.'}, {'user': '3a93ea91aa2547c4bb5d39ea', 'hackerRankScore': 6, 'assessmentScore': 6, 'performance': 3, 'communication': 0, 'remarks': 'Car its matter identify investment.'}, {'user': '03b47c8321074e5296037df2', 'hackerRankScore': 1, 'assessmentScore': 6, 'performance': 6, 'communication': 5, 'remarks': 'Laugh treatment already.'}, {'user': 'fe7e3243908c40ea9b787efb', 'hackerRankScore': 2, 'assessmentScore': 8, 'performance': 1, 'communication': 5, 'remarks': 'Show free responsibility general determine interesting training.'}, {'user': 'a22060a5b7c442a8a4a16c0f', 'hackerRankScore': 8, 'assessmentScore': 5, 'performance': 6, 'communication': 3, 'remarks': 'Example year against hotel provide act.'}, {'user': '1dbdde7a910c4751a80df6a9', 'hackerRankScore': 3, 'assessmentScore': 5, 'performance': 3, 'communication': 1, 'remarks': 'Institution understand force family find.'}, {'user': '861fab997f714b57bab9fbfa', 'hackerRankScore': 3, 'assessmentScore': 6, 'performance': 5, 'communication': 4, 'remarks': 'Likely discuss Mr on.'}, {'user': 'f53d1b99c0a74b07ad558041', 'hackerRankScore': 7, 'assessmentScore': 8, 'performance': 8, 'communication': 1, 'remarks': 'Accept various movie court senior.'}]"
DE-009,ongoing,99a85dd451284af2afc96b3a,2024-03-13 01:12:22,2024-03-27 01:12:22,"[{'user': 'd56285b500314b7ca859dd96', 'hackerRankScore': 5, 'assessmentScore': 0, 'performance': 1, 'communication': 3, 'remarks': 'Mother among just west relationship lawyer.'}, {'user': '223ea89d6156488fa01dd8d0', 'hackerRankScore': 4, 'assessmentScore': 10, 'performance': 2, 'communication': 5, 'remarks': 'Health himself each better herself.'}, {'user': '302dadd0ae0543d989f9d266', 'hackerRankScore': 8, 'assessmentScore': 5, 'performance': 6, 'communication': 3, 'remarks': 'As system fish state.'}, {'user': '66bf2040253c4a4e983593ca', 'hackerRankScore': 5, 'assessmentScore': 5, 'performance': 7, 'communication': 3, 'remarks': 'Drop Mr least something appear move.'}, {'user': 'a59dfba949894d539c91aaa8', 'hackerRankScore': 8, 'assessmentScore': 1, 'performance': 1, 'communication': 5, 'remarks': 'Especially size born culture.'}, {'user': 'd58b5f1d91d44c09ba8aba52', 'hackerRankScore': 1, 'assessmentScore': 3, 'performance': 7, 'communication': 8, 'remarks': 'While floor able campaign main offer require.'}, {'user': '8748b1b11089482792eaa07b', 'hackerRankScore': 0, 'assessmentScore': 4, 'performance': 0, 'communication': 8, 'remarks': 'Gas single just back audience anyone appear.'}, {'user': '2fdfaba199474aae83ac40c9', 'hackerRankScore': 0, 'assessmentScore': 3, 'performance': 8, 'communication': 7, 'remarks': 'Agent consumer like side return relationship.'}, {'user': '0e0a688cf3eb4b87b4b351a2', 'hackerRankScore': 6, 'assessmentScore': 2, 'performance': 6, 'communication': 5, 'remarks': 'Play low thousand religious accept between just.'}, {'user': '5d0c8d7b33e84f019232c902', 'hackerRankScore': 9, 'assessmentScore': 2, 'performance': 5, 'communication': 9, 'remarks': 'Level short in give star.'}, {'user': '7fb0baadee8a4121809a3f46', 'hackerRankScore': 4, 'assessmentScore': 5, 'performance': 10, 'communication': 4, 'remarks': 'Air choice family him become fund dinner.'}, {'user': '3c50c0f8afcb49c99b9fcddc', 'hackerRankScore': 2, 'assessmentScore': 4, 'performance': 9, 'communication': 5, 'remarks': 'Science serve through in.'}, {'user': 'a1a06a94b0904889940757f5', 'hackerRankScore': 1, 'assessmentScore': 1, 'performance': 9, 'communication': 1, 'remarks': 'Usually race live resource wait generation example.'}, {'user': 'c20dff5dedff4dfe9d59021a', 'hackerRankScore': 8, 'assessmentScore': 0, 'performance': 1, 'communication': 3, 'remarks': 'Develop whatever nation citizen among right coach.'}, {'user': '4a4d5b677ca64e57833cfed6', 'hackerRankScore': 6, 'assessmentScore': 3, 'performance': 4, 'communication': 5, 'remarks': 'No war southern clearly amount.'}]"
UI-010,pending,6df071db02dc4e069b6eac94,2024-02-21 15:07:48,2024-03-17 15:07:48,"[{'user': '8e06fe8c4c2847048b74f7eb', 'hackerRankScore': 2, 'assessmentScore': 1, 'performance': 7, 'communication': 7, 'remarks': 'Name case but land because.'}, {'user': '8a5b452c76ff43e0a5b82c05', 'hackerRankScore': 3, 'assessmentScore': 6, 'performance': 2, 'communication': 5, 'remarks': 'Full war share truth mouth school.'}, {'user': '41f281279e4546fab4356c76', 'hackerRankScore': 7, 'assessmentScore': 6, 'performance': 0, 'communication': 6, 'remarks': 'Improve behavior national account.'}, {'user': '895bcafdd9914f958dba727d', 'hackerRankScore': 2, 'assessmentScore': 4, 'performance': 2, 'communication': 6, 'remarks': 'Into cost only represent modern.'}, {'user': '330929f36ced44f0883ed973', 'hackerRankScore': 2, 'assessmentScore': 2, 'performance': 4, 'communication': 2, 'remarks': 'Project heart woman source.'}, {'user': '69c767295ef8400e9cbbdf43', 'hackerRankScore': 2, 'assessmentScore': 4, 'performance': 3, 'communication': 3, 'remarks': 'Moment area rest.'}, {'user': '4eee962dab974eeea9d148bf', 'hackerRankScore': 1, 'assessmentScore': 1, 'performance': 9, 'communication': 9, 'remarks': 'Pay health edge garden.'}, {'user': 'ec553ac919884c7885ec0ea3', 'hackerRankScore': 7, 'assessmentScore': 5, 'performance': 8, 'communication': 0, 'remarks': 'Other student letter put heart item media sign.'}, {'user': '393bc19a276b4c168f5213f4', 'hackerRankScore': 4, 'assessmentScore': 2, 'performance': 6, 'communication': 10, 'remarks': 'Mrs me education project kid peace bed.'}, {'user': 'ac0dc510d7504ee0a9b8344c', 'hackerRankScore': 4, 'assessmentScore': 3, 'performance': 7, 'communication': 8, 'remarks': 'Congress we try authority do letter dream.'}, {'user': 'c5a5bac0dcb24d9b899ee2c7', 'hackerRankScore': 7, 'assessmentScore': 8, 'performance': 5, 'communication': 5, 'remarks': 'Rule ask training thought.'}, {'user': 'df457c1522874750bbd1c38a', 'hackerRankScore': 8, 'assessmentScore': 0, 'performance': 1, 'communication': 4, 'remarks': 'Likely role air themselves attack where claim present.'}, {'user': 'e8f589d147494d6491e03217', 'hackerRankScore': 9, 'assessmentScore': 2, 'performance': 5, 'communication': 1, 'remarks': 'Event environment kid town cup painting.'}, {'user': '9db61a84393e40feb34bc032', 'hackerRankScore': 2, 'assessmentScore': 10, 'performance': 5, 'communication': 6, 'remarks': 'Wear figure account theory office member of.'}, {'user': '7887349c437941cbad79ce44', 'hackerRankScore': 1, 'assessmentScore': 4, 'performance': 5, 'communication': 4, 'remarks': 'Quite upon ready use bill wide run.'}, {'user': '876fc5fcb54a4397b0701165', 'hackerRankScore': 6, 'assessmentScore': 3, 'performance': 7, 'communication': 2, 'remarks': 'Trade number store minute table population science.'}, {'user': 'acf0a81d09294e48b3da0083', 'hackerRankScore': 1, 'assessmentScore': 7, 'performance': 0, 'communication': 4, 'remarks': 'Population approach interesting.'}]"
